match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,impact_player_era_flag,team1_batting_first_flag,team2_batting_first_flag,team1_won_toss_flag,team2_won_toss_flag,team1_chasing_flag,team2_chasing_flag,toss_decision_bat_flag,toss_decision_field_flag,team1_runs_avg_last5,team1_wickets_lost_avg_last5,team1_powerplay_avg_last5,team1_death_avg_last5,team1_runs_conceded_avg_last5,team2_runs_avg_last5,team2_wickets_lost_avg_last5,team2_powerplay_avg_last5,team2_death_avg_last5,team2_runs_conceded_avg_last5,venue_avg_runs,venue_avg_powerplay,venue_avg_death,venue_avg_wickets,venue_runs_avg_last10,venue_powerplay_avg_last10,venue_death_avg_last10,venue_wickets_avg_last10
1136615,2018,2018-05-20,arun jaitley stadium,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils,Mumbai Indians,174,163.0,337.0,0,1,0,1,0,0,1,1,0,177.8,5.0,48.6,51.8,163.2,184.2,5.6,50.6,50.4,160.8,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,176.1,52.3,43.7,5.0
1136616,2018,2018-05-20,maharashtra cricket association stadium,Pune,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,153,159.0,312.0,0,1,0,0,1,0,1,0,1,156.6,6.8,45.8,45.0,166.6,157.8,4.2,50.2,43.0,165.0,168.16666666666666,46.083333333333336,48.5,5.416666666666667,170.6,49.1,47.4,5.0
1136617,2018,2018-05-22,wankhede stadium,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,139,140.0,279.0,0,1,0,0,1,0,1,0,1,178.4,5.4,46.8,42.4,179.8,154.2,4.2,45.4,43.2,159.6,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,164.2,51.0,42.1,6.6
1136618,2018,2018-05-23,eden gardens,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,169,144.0,313.0,0,1,0,0,1,0,1,0,1,167.8,6.2,54.0,41.0,183.8,162.4,6.4,56.8,41.4,153.2,183.2716049382716,56.77777777777778,48.851851851851855,6.0246913580246915,160.8,55.5,32.6,6.6
1136619,2018,2018-05-25,eden gardens,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,174,160.0,334.0,0,1,0,0,1,0,1,0,1,177.0,4.8,48.6,44.4,179.6,168.0,6.4,53.8,42.8,176.4,183.2716049382716,56.77777777777778,48.851851851851855,6.0246913580246915,159.2,54.6,35.9,5.8
1136620,2018,2018-05-27,wankhede stadium,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,178,181.0,359.0,0,1,0,0,1,0,1,0,1,173.6,6.0,47.4,48.8,174.2,156.6,5.0,43.6,45.0,162.0,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,154.1,47.5,39.1,6.7
1175356,2019,2019-03-23,ma chidambaram stadium,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,70,71.0,141.0,0,1,0,0,1,0,1,0,1,154.4,5.4,55.6,34.8,156.6,157.6,4.6,39.6,42.2,162.2,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555
1175357,2019,2019-03-24,eden gardens,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,181,183.0,364.0,0,1,0,0,1,0,1,0,1,173.4,6.4,50.0,49.4,174.4,178.4,6.2,57.8,48.6,169.2,183.2716049382716,56.77777777777778,48.851851851851855,6.0246913580246915,160.9,53.5,41.7,6.6
1175359,2019,2019-03-25,sawai mansingh stadium,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,Rajasthan Royals,184,170.0,354.0,0,1,0,0,1,0,1,0,1,156.2,8.0,44.8,44.6,168.0,159.6,5.6,54.4,40.4,158.4,157.25,49.5,39.857142857142854,5.571428571428571,157.8,47.6,42.1,6.7
1175361,2019,2019-03-27,eden gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,Kings XI Punjab,218,190.0,408.0,0,1,0,0,1,0,1,0,1,166.0,5.8,55.4,47.2,162.6,164.4,7.4,44.6,46.2,170.4,183.2716049382716,56.77777777777778,48.851851851851855,6.0246913580246915,161.6,52.3,43.8,6.4
1175362,2019,2019-03-28,m.chinnaswamy stadium,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,187,181.0,368.0,0,1,0,0,1,0,1,0,1,180.6,7.8,52.2,45.6,169.8,140.2,6.2,51.2,27.8,141.6,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,185.5,45.2,57.2,5.4
1175363,2019,2019-03-29,rajiv gandhi international stadium,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,Sunrisers Hyderabad,198,201.0,399.0,0,1,0,1,0,0,1,1,0,158.2,6.2,55.8,36.4,160.0,168.8,6.4,49.6,48.4,167.4,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,157.0,48.8,42.5,6.3
1175364,2019,2019-03-30,pca stadium,Chandigarh,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,Kings XI Punjab,176,177.0,353.0,0,1,0,0,1,0,1,0,1,176.0,8.2,53.2,42.2,184.4,159.6,6.6,43.2,44.8,165.0,173.8,51.6,44.8,5.2,173.8,51.6,44.8,5.2
1175366,2019,2019-03-31,rajiv gandhi international stadium,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,231,113.0,344.0,0,1,0,0,1,0,1,0,1,174.6,5.6,51.4,49.4,172.4,139.0,6.2,51.6,30.6,142.8,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,160.9,52.5,41.4,6.1
