match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,winner,completed_flag,super_over_flag
1136608,2018,2018-05-14,Holkar Cricket Stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,Royal Challengers Bangalore,88,92.0,180.0,Royal Challengers Bangalore,True,False
1136609,2018,2018-05-15,Eden Gardens,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,142,145.0,287.0,Kolkata Knight Riders,True,False
1136610,2018,2018-05-16,Wankhede Stadium,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,Kings XI Punjab,186,183.0,369.0,Mumbai Indians,True,False
1136611,2018,2018-05-17,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,218,204.0,422.0,Royal Challengers Bangalore,True,False
1136612,2018,2018-05-18,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils,Chennai Super Kings,162,128.0,290.0,Delhi Daredevils,True,False
1136613,2018,2018-05-19,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,164,134.0,298.0,Rajasthan Royals,True,False
1136614,2018,2018-05-19,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,172,173.0,345.0,Kolkata Knight Riders,True,False
1136615,2018,2018-05-20,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils,Mumbai Indians,174,163.0,337.0,Delhi Daredevils,True,False
1136616,2018,2018-05-20,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,153,159.0,312.0,Chennai Super Kings,True,False
1136617,2018,2018-05-22,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,139,140.0,279.0,Chennai Super Kings,True,False
1136618,2018,2018-05-23,Eden Gardens,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,169,144.0,313.0,Kolkata Knight Riders,True,False
1136619,2018,2018-05-25,Eden Gardens,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,174,160.0,334.0,Sunrisers Hyderabad,True,False
1136620,2018,2018-05-27,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,178,181.0,359.0,Chennai Super Kings,True,False
1175356,2019,2019-03-23,MA Chidambaram Stadium,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,70,71.0,141.0,Chennai Super Kings,True,False
1175357,2019,2019-03-24,Eden Gardens,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,181,183.0,364.0,Kolkata Knight Riders,True,False
1175358,2019,2019-03-24,Wankhede Stadium,Mumbai,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,Mumbai Indians,213,176.0,389.0,Delhi Capitals,True,False
1175359,2019,2019-03-25,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,Rajasthan Royals,184,170.0,354.0,Kings XI Punjab,True,False
1175360,2019,2019-03-26,Arun Jaitley Stadium,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,Chennai Super Kings,147,150.0,297.0,Chennai Super Kings,True,False
1175361,2019,2019-03-27,Eden Gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,Kings XI Punjab,218,190.0,408.0,Kolkata Knight Riders,True,False
1175362,2019,2019-03-28,M.Chinnaswamy Stadium,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,187,181.0,368.0,Mumbai Indians,True,False
1175363,2019,2019-03-29,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,Sunrisers Hyderabad,198,201.0,399.0,Sunrisers Hyderabad,True,False
1175364,2019,2019-03-30,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,Kings XI Punjab,176,177.0,353.0,Kings XI Punjab,True,False
1175366,2019,2019-03-31,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,231,113.0,344.0,Sunrisers Hyderabad,True,False
1175367,2019,2019-03-31,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,175,167.0,342.0,Chennai Super Kings,True,False
1175368,2019,2019-04-01,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,Delhi Capitals,166,152.0,318.0,Kings XI Punjab,True,False
1175369,2019,2019-04-02,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,158,164.0,322.0,Rajasthan Royals,True,False
1175370,2019,2019-04-03,Wankhede Stadium,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Chennai Super Kings,170,133.0,303.0,Mumbai Indians,True,False
1175371,2019,2019-04-04,Arun Jaitley Stadium,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,129,131.0,260.0,Sunrisers Hyderabad,True,False
1175372,2019,2019-04-05,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,205,206.0,411.0,Kolkata Knight Riders,True,False
1178393,2019,2019-04-06,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,Kings XI Punjab,160,138.0,298.0,Chennai Super Kings,True,False
1178394,2019,2019-04-06,Rajiv Gandhi International Stadium,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,136,96.0,232.0,Mumbai Indians,True,False
1178395,2019,2019-04-07,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,149,152.0,301.0,Delhi Capitals,True,False
1178396,2019,2019-04-07,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,139,140.0,279.0,Kolkata Knight Riders,True,False
1178397,2019,2019-04-08,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,150,151.0,301.0,Kings XI Punjab,True,False
